"Game","Date","Venue","Time","Field","Group","Home Team","Score","","Away Team","Score"
"554295","Thursday,  August 27, 2020","Legacy Events Center","06:50 PM","2026","A4 vs A1","MetaSport FC 07G - JH (L30)","0","vs.","L30 Titans FC G07 - Yellow","4"
"554303","Thursday,  September 10, 2020","Legacy Events Center","06:50 PM","2026","A4 vs A8","MetaSport FC 07G - JH (L30)","","vs.","Avalanche 07 Black CV",""
"554310","Thursday,  September 17, 2020","Legacy Events Center","06:20 PM","2026","A4 vs A3","MetaSport FC 07G - JH (L30)","","vs.","Avalanche 07 Blue UC",""
"554286","Monday,  September 21, 2020","Bonneville Jr. High","05:30 PM","3005","A7 vs A4","Impact AG","","vs.","MetaSport FC 07G - JH (L30)",""
"554291","Friday,  October 02, 2020","Legacy Events Center","05:30 PM","2021","A4 vs A2","MetaSport FC 07G - JH (L30)","","vs.","Impact BG",""
"554316","Saturday,  October 03, 2020","Deseret Peak Complex","10:00 AM","2010","A9 vs A4","Elite FC 07G Black","","vs.","MetaSport FC 07G - JH (L30)",""
"554296","Wednesday,  October 21, 2020","G Hillman Recreation Complex","05:30 PM","5880","A6 vs A4","Shooters SC 07 Premier HJ","","vs.","MetaSport FC 07G - JH (L30)",""
"554313","Saturday,  October 24, 2020","Mountain View (N. OGDEN)","04:00 PM","4136","A5 vs A4","SWAT CRUSH Black 07G - CL (L30)","","vs.","MetaSport FC 07G - JH (L30)",""
