"Game","Date","Venue","Time","Field","Group","Home Team","Score","","Away Team","Score"
"798728","Friday,  April 16, 2021","Legacy Events Center","05:30 PM","2021","A6 vs A8","MetaSport FC 07G - JH (L30)","1","vs.","Elite FC 07G Black","1"
"798709","Saturday,  April 17, 2021","Willow Pond","02:00 PM","1168","A2 vs A6","Murray S.C. Black G07 KS","2","vs.","MetaSport FC 07G - JH (L30)","2"
"798731","Thursday,  April 22, 2021","Legacy Events Center","05:30 PM","2022","A6 vs A10","MetaSport FC 07G - JH (L30)","0","vs.","UCSC Baby Goats 07","1"
"798703","Tuesday,  April 27, 2021","Legacy Events Center","05:30 PM","2026","A6 vs A5","MetaSport FC 07G - JH (L30)","2","vs.","Impact AG","0"
"798738","Thursday,  May 06, 2021","Legacy Events Center","05:30 PM","2026","A6 vs A3","MetaSport FC 07G - JH (L30)","0","vs.","Wasatch SC 07G KN","1"
"798716","Monday,  May 10, 2021","Spanish Fork Sports Park","06:45 PM","5661","A4 vs A6","Shooters SC 07 Premier HJ","2","vs.","MetaSport FC 07G - JH (L30)","0"
"798742","Thursday,  May 13, 2021","Fairmont Park","05:30 PM","1044","A7 vs A6","Impact BG","1","vs.","MetaSport FC 07G - JH (L30)","1"
"798705","Friday,  May 21, 2021","Legacy Events Center","07:00 PM","2026","A6 vs A9","MetaSport FC 07G - JH (L30)","","vs.","AYSO UNITED NO G07 - DB",""
"798721","Wednesday,  May 26, 2021","Ira Allen Field","06:00 PM","5032","A1 vs A6","Utah Storm 07 - Armstrong","","vs.","MetaSport FC 07G - JH (L30)",""
